"codigoCentro","nroSeccion","nroCircuito","letraCircuito","nombreCircuito","nroMesa","letraMesa","fechaHora"
"ROSARIO","14","359","","ROSARIO SEC.15A T.SUIZO","6023","","2015-06-15 02:20:19"
"ROSARIO","15","362","A","VILLA GOBERNADOR GALVEZ","6158","","2015-06-15 02:19:44"
"SANTAFE","19","210","","SAN JUSTO","6908","","2015-06-15 02:16:33"
"SANTAFE","09","032","","STA.FE (SEC. 7A M.SELVA)","3069","","2015-06-15 02:16:04"
"SANTAFE","09","007","","STA.FE (SEC. 2A)","2109","","2015-06-15 02:14:45"
"ROSARIO","14","359","A","ROSARIO SEC.21A M.S.MART.","6123","","2015-06-15 02:13:15"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2569","","2015-06-15 02:12:46"
"SANTAFE","07","224","","RECONQUISTA","1503","","2015-06-15 02:10:46"
"ROSARIO","20","423","","ROLDAN","7205","","2015-06-15 02:10:40"
"ROSARIO","13","330","","ROSARIO SEC. 6A","3996","","2015-06-15 02:09:23"
"SANTAFE","05","110","","CAMPO DEL MEDIO","993","E","2015-06-15 02:06:36"
"ROSARIO","02","370","","CHABAS","253","","2015-06-15 02:06:20"
"SANTAFE","16","178","","CERES","6431","","2015-06-15 02:05:36"
"ROSARIO","14","359","A","ROSARIO SEC.21A M.S.MART.","6067","","2015-06-15 02:05:28"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5124","","2015-06-15 02:04:18"
"ROSARIO","14","348","","ROSARIO SEC.11A R.S.PEÑA","4929","","2015-06-15 02:02:50"
"SANTAFE","09","019","","STA.FE (SEC.8A GUADALUPE)","2682","","2015-06-15 02:02:08"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5112","","2015-06-15 02:00:31"
"ROSARIO","14","342","","ROSARIO SEC.10A ALBERDI","4284","","2015-06-15 02:00:10"
"ROSARIO","15","356","A","BARRIO CABIN NUEVE","5819","","2015-06-15 01:59:34"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2533","","2015-06-15 01:59:31"
"ROSARIO","14","347","","ROSARIO SEC.14A BELGRANO","4693","","2015-06-15 01:57:10"
"ROSARIO","14","344","A","ROSARIO SCOM.1A EMP.GRAN.","4473","","2015-06-15 01:56:11"
"ROSARIO","15","355","","GDERO. BAIGORRIA","5700","","2015-06-15 01:55:33"
"SANTAFE","09","021","","COLASTINE","2896","","2015-06-15 01:54:18"
"SANTAFE","09","012","","STA.FE (SEC. 4A)","2264","","2015-06-15 01:54:07"
"SANTAFE","09","032","","STA.FE (SEC. 7A M.SELVA)","3072","","2015-06-15 01:52:36"
"ROSARIO","15","362","A","VILLA GOBERNADOR GALVEZ","6204","","2015-06-15 01:52:03"
"SANTAFE","09","007","","STA.FE (SEC. 2A)","2116","","2015-06-15 01:51:07"
"SANTAFE","09","018","","ALTO VERDE","2660","","2015-06-15 01:48:49"
"SANTAFE","09","009","","STA.FE (SEC. 3A)","2162","","2015-06-15 01:46:14"
"SANTAFE","09","011","A","STA.FE (SUB.COM. 2A)","2236","","2015-06-15 01:45:57"
"SANTAFE","09","019","","STA.FE (SEC.8A GUADALUPE)","2702","","2015-06-15 01:45:39"
"ROSARIO","14","359","A","ROSARIO SEC.21A M.S.MART.","6066","","2015-06-15 01:45:25"
"ROSARIO","13","328","","ROSARIO SEC. 5A","3919","","2015-06-15 01:43:41"
"ROSARIO","14","348","","ROSARIO SEC.11A R.S.PEÑA","4837","","2015-06-15 01:42:44"
"ROSARIO","14","344","A","ROSARIO SCOM.1A EMP.GRAN.","4481","","2015-06-15 01:42:15"
"ROSARIO","14","349","","ROSARIO SEC.13A B.VISTA","5008","","2015-06-15 01:42:01"
"ROSARIO","15","362","E","VILLA GOB GALVEZ","6329","","2015-06-15 01:41:27"
"SANTAFE","09","015","","STA.FE (SUB.COM. 3A)","2425","","2015-06-15 01:39:04"
"SANTAFE","09","038","","STA.FE (BO.EL POZO)","3195","","2015-06-15 01:39:02"
"SANTAFE","09","015","","STA.FE (SUB.COM. 3A)","2421","","2015-06-15 01:36:14"
